"Category","Name","Source","Output","Status"
"ai教育","AI协作教学设计师","C:\Users\14420\Desktop\bushu\头像\ai教育\AI协作教学设计师.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\AI协作教学设计师.png","done"
"ai教育","PhD导师申请顾问","C:\Users\14420\Desktop\bushu\头像\ai教育\PhD导师申请顾问.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\PhD导师申请顾问.png","done"
"ai教育","笔记与记忆优化专家","C:\Users\14420\Desktop\bushu\头像\ai教育\笔记与记忆优化专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\笔记与记忆优化专家.png","done"
"ai教育","出题与试卷生成专家","C:\Users\14420\Desktop\bushu\头像\ai教育\出题与试卷生成专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\出题与试卷生成专家.png","done"
"ai教育","高考志愿填报顾问","C:\Users\14420\Desktop\bushu\头像\ai教育\高考志愿填报顾问.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\高考志愿填报顾问.png","done"
"ai教育","合同审查专家","C:\Users\14420\Desktop\bushu\头像\ai教育\合同审查专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\合同审查专家.png","done"
"ai教育","互动课件设计师","C:\Users\14420\Desktop\bushu\头像\ai教育\互动课件设计师.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\互动课件设计师.png","done"
"ai教育","家校沟通专家","C:\Users\14420\Desktop\bushu\头像\ai教育\家校沟通专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\家校沟通专家.png","done"
"ai教育","简历优化专家","C:\Users\14420\Desktop\bushu\头像\ai教育\简历优化专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\简历优化专家.png","done"
"ai教育","课程设计与培训专家","C:\Users\14420\Desktop\bushu\头像\ai教育\课程设计与培训专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\课程设计与培训专家.png","done"
"ai教育","留学规划顾问","C:\Users\14420\Desktop\bushu\头像\ai教育\留学规划顾问.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\留学规划顾问.png","done"
"ai教育","论文学术写作专家","C:\Users\14420\Desktop\bushu\头像\ai教育\论文学术写作专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\论文学术写作专家.png","done"
"ai教育","面试模拟教练","C:\Users\14420\Desktop\bushu\头像\ai教育\面试模拟教练.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\面试模拟教练.png","done"
"ai教育","企业培训课程设计师","C:\Users\14420\Desktop\bushu\头像\ai教育\企业培训课程设计师.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\企业培训课程设计师.png","done"
"ai教育","企业培训设计师","C:\Users\14420\Desktop\bushu\头像\ai教育\企业培训设计师.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\企业培训设计师.png","done"
"ai教育","学习规划师","C:\Users\14420\Desktop\bushu\头像\ai教育\学习规划师.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\学习规划师.png","done"
"ai教育","制度文件撰写专家","C:\Users\14420\Desktop\bushu\头像\ai教育\制度文件撰写专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\制度文件撰写专家.png","done"
"ai教育","智能备课专家","C:\Users\14420\Desktop\bushu\头像\ai教育\智能备课专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\智能备课专家.png","done-sample"
"ai教育","追着你打卡的监工","C:\Users\14420\Desktop\bushu\头像\ai教育\追着你打卡的监工.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\追着你打卡的监工.png","done"
