"Category","Name","Output","Status","PreviousModified","CompletedAt"
"办公提效类","周报日报生成器","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\周报日报生成器.png","done","2026-06-01 16:07:52","2026-06-09 15:28:23"
"产品策略","产品经理","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\产品经理.png","done","2026-06-01 16:11:12","2026-06-09 15:31:58"
"产品策略","反馈分析师","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\反馈分析师.png","done","2026-06-01 16:13:52","2026-06-09 15:35:17"
"产品策略","高级市场研究员","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\高级市场研究员.png","done","2026-06-01 16:17:12","2026-06-09 15:38:25"
"产品策略","趋势研究员","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\趋势研究员.png","done","2026-06-01 16:22:13","2026-06-09 15:45:45"
"内容生成","爆款拆解复刻师","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\爆款拆解复刻师.png","done","2026-06-01 16:25:41","2026-06-09 15:49:21"
"内容生成","短视频剪辑指导师","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\短视频剪辑指导师.png","done","2026-06-01 16:28:43","2026-06-09 15:52:50"
"内容生成","商品文案与Listing专家","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\商品文案与Listing专家.png","done","2026-06-01 16:31:39","2026-06-09 15:57:37"
"内容生成","社媒排期官","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\社媒排期官.png","done","2026-06-01 16:36:39","2026-06-09 16:01:06"
"内容生成","通用写作助手","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\通用写作助手.png","done","2026-06-01 16:39:13","2026-06-09 16:31:25"
"内容生成","小说故事创作专家","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\小说故事创作专家.png","pending","2026-06-01 16:42:26",""
"内容生成","知识付费产品策划师","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\知识付费产品策划师.png","done","2026-06-01 16:45:28","2026-06-09 16:38:08"
"内容生成","自媒体热点猎手","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体热点猎手.png","done","2026-06-01 16:48:47","2026-06-09 16:44:29"
"内容生成","自媒体数据分析专家","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体数据分析专家.png","done","2026-06-01 16:54:19","2026-06-09 16:51:14"
"内容生成","自媒体文案生产专家","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体文案生产专家.png","done","2026-06-01 16:57:49","2026-06-09 16:53:48"
"内容生成","自媒体选题策划师","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体选题策划师.png","done","2026-06-01 17:02:30","2026-06-09 16:57:45"
"内容运营","电商选品调研专家","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\电商选品调研专家.png","done","2026-06-01 17:07:14","2026-06-09 17:01:43"
"内容运营","抖音策略师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\抖音策略师.png","done","2026-06-01 17:10:58","2026-06-09 17:05:56"
"内容运营","短视频热点猎手","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\短视频热点猎手.png","done","2026-06-01 17:14:31","2026-06-09 17:08:55"
"内容运营","公众号涨粉笔杆子","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\公众号涨粉笔杆子.png","done","2026-06-01 17:18:14","2026-06-09 17:12:12"
"内容运营","快手策略师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\快手策略师.png","done","2026-06-01 17:24:02","2026-06-09 17:17:24"
